BoroCD,AssemDist,the_geom,CounDist,CongDist,StSenDist,BUS_SHLTR_ID,LOCATION,AT_BETWEEN,LONGITUDE,LATITUDE,AssetID,BoroCode,BoroName,Street,SegmentID,PhysicalID,NODEID
301,53,POINT (-73.94783099999995 40.70681200000007),34,7,18,BR0003,MONTROSE AV,LORIMER ST,-73.947831,40.706812,1,3,Brooklyn,MONTROSE AVENUE,31244,91546,0
301,50,POINT (-73.94516199999998 40.71909700000003),34,12,18,BR0014,GRAHAM AV,HERBERT ST,-73.945162,40.719097,2,3,Brooklyn,GRAHAM AVENUE,35598,45754,0
301,53,POINT (-73.94578299999995 40.702976000000035),34,7,18,BR0026,BROADWAY,LEONARD ST,-73.945783,40.702976,3,3,Brooklyn,BROADWAY,31350,43972,19920
301,50,POINT (-73.94083599999993 40.72019500000005),34,12,18,BR0028,KINGSLAND AV,HERBERT ST,-73.940836,40.720195,4,3,Brooklyn,KINGSLAND AVENUE,65844,48893,40551
302,50,POINT (-73.96979499999998 40.69344000000007),35,8,25,BR0040,VANDERBILT AV,MYRTLE AV,-73.969795,40.69344,5,3,Brooklyn,VANDERBILT AVENUE,30196,60512,0
302,52,POINT (-73.99205599999993 40.68948800000004),33,7,26,BR0049,Atlantic Av,COURT ST,-73.992056,40.689488,6,3,Brooklyn,ATLANTIC AVENUE,115088,43130,0
302,52,POINT (-73.99267499999996 40.689883000000066),33,7,26,BR0050,Atlantic Av,COURT ST,-73.992675,40.689883,7,3,Brooklyn,ATLANTIC AVENUE,23814,43129,0
302,52,POINT (-73.99149099999994 40.696791000000076),33,7,26,BR0055,Cadman Plz West,CLARK ST,-73.991491,40.696791,8,3,Brooklyn,CADMAN PLAZA WEST,262639,148684,9036273
302,52,POINT (-73.98756899999995 40.690251000000046),33,7,25,BR0058,LIVINGSTON ST,SMITH ST,-73.987569,40.690251,9,3,Brooklyn,LIVINGSTON STREET,24185,55244,0
302,57,POINT (-73.96923899999996 40.68965000000003),35,8,25,BR0062,VANDERBILT AV,DEKALB AV,-73.969239,40.68965,10,3,Brooklyn,VANDERBILT AVENUE,30180,60510,0
303,56,POINT (-73.94537699999995 40.690270000000055),36,8,25,BR0085,TOMPKINS AV,LAFAYETTE AV,-73.945377,40.69027,11,3,Brooklyn,TOMPKINS AVENUE,31293,44634,0
303,56,POINT (-73.93494899999996 40.679400000000044),36,8,25,BR0097,TROY AV,FULTON ST,-73.934949,40.6794,12,3,Brooklyn,TROY AVENUE,43191,47956,26817
303,57,POINT (-73.95539999999994 40.68110000000007),36,8,25,BR0105,FULTON ST BETWEEN FRANKLIN AV & SPENSER,BETWEEN FRANKLIN AV & SPENSER,-73.9554,40.6811,13,3,Brooklyn,FULTON STREET,29564,39107,0
303,56,POINT (-73.94329499999998 40.69613500000003),36,8,18,BR0113,MYRTLE AV,THROOP AV,-73.943295,40.696135,14,3,Brooklyn,MYRTLE AVENUE,9007438,43628,9002489
303,56,POINT (-73.95231899999999 40.695092000000045),36,7,18,BR0131,MYRTLE AV,NOSTRAND AV,-73.952319,40.695092,15,3,Brooklyn,MYRTLE AVENUE,9008424,43625,19748
304,53,POINT (-73.92362099999997 40.699429000000066),37,7,18,BR0140,WILSON AV,DEKALB AV,-73.923621,40.699429,16,3,Brooklyn,WILSON AVENUE,44875,72378,0
304,54,POINT (-73.90937099999996 40.69147600000008),37,7,18,BR0143,WILSON AV,HALSEY ST,-73.909371,40.691476,17,3,Brooklyn,WILSON AVENUE,45356,72399,28008
304,54,POINT (-73.92754899999994 40.69296900000006),34,7,18,BR0145,KOSSUTH PL,BROADWAY,-73.927549,40.692969,18,3,Brooklyn,KOSSUTH PLACE,44672,99093,0
304,53,POINT (-73.91111499999994 40.69935300000003),37,7,18,BR0155,PALMETTO ST,WYCKOFF AV,-73.911115,40.699353,19,3,Brooklyn,PALMETTO STREET,128598,66335,27962
301,53,POINT (-73.94232299999999 40.70086700000007),33,7,18,BR0157,BROADWAY,FLUSHING AV,-73.942323,40.700867,20,3,Brooklyn,BROADWAY,292667,171229,27324
305,54,POINT (-73.87188999999995 40.68174000000005),37,7,18,BR0175,Atlantic Av,CRESCENT ST,-73.87189,40.68174,21,3,Brooklyn,ATLANTIC AVENUE,157782,43366,77826
303,56,POINT (-73.94497999999999 40.686923000000036),36,8,25,BR02000,GATES AV,TOMPKINS AV,-73.94498,40.686923,22,3,Brooklyn,GATES AVENUE,9003426,68955,0
307,51,POINT (-74.01817899999998 40.64059800000007),38,7,20,BR02001,60 ST,4 AV,-74.018179,40.640598,23,3,Brooklyn,60 STREET,161357,42295,0
307,49,POINT (-74.00973099999999 40.635695000000055),38,7,20,BR02003,60 ST,8 AV,-74.009731,40.635695,24,3,Brooklyn,60 STREET,20579,42292,0
311,47,POINT (-73.99338899999998 40.602183000000025),47,11,23,BR02005,BAY PKWY,86 ST,-73.993389,40.602183,25,3,Brooklyn,BAY PARKWAY,18909,51305,0
311,49,POINT (-73.99574399999995 40.61334700000003),47,10,22,BR02010,BAY RIDGE PKWY,18 AV,-73.995744,40.613347,26,3,Brooklyn,BAY RIDGE PARKWAY,19978,37024,0
311,49,POINT (-73.99965899999995 40.61549800000006),43,10,22,BR02011,BAY RIDGE PKWY,NEW UTRECHT AV,-73.999659,40.615498,27,3,Brooklyn,BAY RIDGE PARKWAY,19853,37022,0
