MeterType,MeterNo,the_geom,POINT_X,POINT_Y,Status
Strada,4522508,POINT (-73.84754478941615 40.709875987979686),1026516.62346,197940.238028,Active
Strada,4522507,POINT (-73.8488008968349 40.710070629870785),1026168.25867,198010.548254,Active
Strada,4522506,POINT (-73.84904582319429 40.710001740642355),1026100.3989,197985.332754,Active
Strada,4522505,POINT (-73.84916360108579 40.709980124244495),1026067.75986,197977.401011,Active
Strada,4522504,POINT (-73.84945799115 40.71018488626713),1025986.01527,198051.861492,Active
Strada,4522503,POINT (-73.85025951820288 40.71031129918473),1025763.72273,198097.536598,Retired
Strada,4522502,POINT (-73.8515062880234 40.71050914122026),1025417.94915,198169.027924,Retired
Strada,4361748,POINT (-73.88463841540538 40.70157924292706),1016236.7887,194901.766742,Active
Strada,4361747,POINT (-73.88572633199622 40.70148804723795),1015935.18104,194868.146075,Active
Strada,4361746,POINT (-73.88638517682367 40.70143027240476),1015752.52753,194846.859372,Active
Strada,4361745,POINT (-73.88763774848938 40.70132571967889),1015405.27003,194808.319751,Active
Strada,4361763,POINT (-73.88885955618039 40.70132085089751),1015066.49544,194806.113718,Active
Strada,4361744,POINT (-73.88814754004656 40.70128321043409),1015263.9373,194792.651475,Active
Strada,4361743,POINT (-73.88927889900894 40.701187754050395),1014950.2834,194757.475364,Active
Strada,4361742,POINT (-73.88985903249844 40.70113775407252),1014789.44941,194739.05611,Active
Strada,4152137,POINT (-73.95421333517662 40.74344146648352),996937.491017,210135.718558,Active
Strada,4152138,POINT (-73.95408227518494 40.743500972934264),996973.796391,210157.417661,Active
Strada,4152145,POINT (-73.95370934415917 40.74481874693115),997076.881815,210637.579103,Active
Strada,4152136,POINT (-73.95410766890657 40.74295164679478),996966.864646,209957.276986,Active
Strada,4152134,POINT (-73.9535987600881 40.74447481690307),997107.590415,210512.290639,Active
Strada,4151985,POINT (-73.93262293871527 40.74278172095477),1002920.37669,209899.216734,Active
Strada,4151981,POINT (-73.93250691167303 40.74264816003526),1002952.5656,209850.581005,Active
Strada,4122378,POINT (-73.88153228617253 40.74983426153818),1017074.26111,212483.69877,Active
Strada,4122380,POINT (-73.88143157462962 40.749840266049326),1017102.16263,212485.924159,Active
