CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
170009568,4/1/2017,0:00:00,12/2/2017,7:00:00,12/21/2017,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,83,INSIDE,RESIDENCE - APT. HOUSE,NA,NA,1008700,192113,40.69395702,-73.91183165,"(40.693957022, -73.911831654)"
817887333,4/1/2017,9:00:00,11/15/2017,18:00:00,11/28/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,61,FRONT OF,STREET,NA,NA,992134,154373,40.59039908,-73.97161483,"(40.590399084, -73.971614832)"
408001650,4/1/2017,12:00:00,NA,NA,10/30/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,13,INSIDE,RESIDENCE - APT. HOUSE,NA,NA,989989,208911,40.74009542,-73.97929156,"(40.740095421, -73.97929156)"
440917849,4/1/2017,0:01:00,10/24/2017,12:00:00,10/26/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,83,FRONT OF,STREET,NA,NA,1004527,196094,40.70489448,-73.92686803,"(40.70489448, -73.926868026)"
675603536,4/1/2017,12:00:00,NA,NA,9/21/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,43,INSIDE,STREET,NA,NA,1024297,241655,40.82988005,-73.85529186,"(40.829880054, -73.855291855)"
598987620,4/1/2017,12:00:00,8/15/2017,7:00:00,8/15/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,113,FRONT OF,STREET,NA,NA,1045049,188550,40.68400237,-73.7807851,"(40.68400237, -73.7807851)"
859682933,4/1/2017,9:00:00,NA,NA,8/4/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,18,NA,STREET,NA,NA,987565,217891,40.76474449,-73.98803444,"(40.764744491, -73.988034437)"
514722638,4/1/2017,0:05:00,7/17/2017,12:00:00,7/17/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,63,FRONT OF,RESIDENCE - APT. HOUSE,NA,NA,1008474,160015,40.60585564,-73.91276191,"(40.605855635, -73.912761909)"
627608991,4/1/2017,14:30:00,7/3/2017,7:03:00,7/3/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,MANHATTAN,28,FRONT OF,STREET,NA,NA,996542,232710,40.80541077,-73.95560073,"(40.805410774, -73.955600729)"
945120327,4/1/2017,0:00:00,6/29/2017,15:30:00,6/29/2017,341,PETIT LARCENY,349,"LARCENY,PETIT OF LICENSE PLATE",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,QUEENS,108,INSIDE,GAS STATION,NA,NA,1000667,208310,40.73843245,-73.94076016,"(40.738432451, -73.940760158)"
